verdict	where	source	surface	label	data-target	data-value	ids its component already declares	class	capability behind it (review aid only)
READ_ONLY	Memory.tsx:166	jsx/click	Memory				memory.forget memory.save	REUSE?	
READ_ONLY	Memory.tsx:176	jsx/click	Memory				memory.forget memory.save	REUSE?	
READ_ONLY	Memory.tsx:184	jsx/click	Memory				memory.forget memory.save	REUSE?	
READ_ONLY	ModelChoice.tsx:62	jsx/change	ModelChoice	搜索或添加模型			-	NEW?	
READ_ONLY	ModelChoice.tsx:97	jsx/click	ModelChoice				-	NEW?	
READ_ONLY	Models.tsx:127	jsx/change	Models	搜索模型			-	NEW?	
READ_ONLY	Network.tsx:73	jsx/click	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:101	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:111	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:125	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:129	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:141	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Network.tsx:147	jsx/change	Network				network.diagnose	REUSE?	
READ_ONLY	Onboarding.tsx:232	jsx/click	Onboarding				-	NEW?	
READ_ONLY	Packages.tsx:101	jsx/click	Package				-	NEW?	
READ_ONLY	Packages.tsx:118	jsx/click	Package				-	NEW?	
READ_ONLY	Pane.tsx:578	jsx/keydown	PaneView				-	NEW?	
READ_ONLY	panels/Context.tsx:121	jsx/click	Context	这个窗口是谁填的说不准 —— 点一下改成这个模型真正的上限			-	NEW?	
READ_ONLY	panels/Files.tsx:98	jsx/click	Files				-	NEW?	
READ_ONLY	PaneTabs.tsx:101	jsx/click	PaneTabs				-	NEW?	
READ_ONLY	PaneTabs.tsx:119	jsx/keydown	PaneTabs	会话面板			-	NEW?	
READ_ONLY	PaneTabs.tsx:121	jsx/dblclick	PaneTabs				-	NEW?	
READ_ONLY	Providers.tsx:208	jsx/click	Conn				provider.protocol provider.remove provider.thinking provider.web-search	REUSE?	
READ_ONLY	Queue.tsx:160	jsx/change	Queue				queue.cancel queue.edit queue.move queue.pause queue.refresh queue.retry	REUSE?	
READ_ONLY	Rail.tsx:94	dom-event/scroll	Rail	scroll			-	NEW?	
READ_ONLY	Rail.tsx:199	dom-event/pointermove	drag	pointermove			-	NEW?	
READ_ONLY	RemoteAsk.tsx:52	jsx/change	RemoteAsk				remote-ask.answer	REUSE?	
READ_ONLY	RemoteDirs.tsx:35	jsx/click	DirRows				-	NEW?	
READ_ONLY	RemoteDirs.tsx:111	jsx/mousedown	RemoteDirs				-	NEW?	
READ_ONLY	RemoteDirs.tsx:135	jsx/click	RemoteDirs	上一级			-	NEW?	
READ_ONLY	RemoteDirs.tsx:147	jsx/change	RemoteDirs	那台机器上的路径			-	NEW?	
READ_ONLY	Rules.tsx:260	jsx/change	Rules				permissions.mode permissions.recipe permissions.remove-rule	REUSE?	
READ_ONLY	Rules.tsx:262	jsx/click	Rules				permissions.mode permissions.recipe permissions.remove-rule	REUSE?	
READ_ONLY	Rules.tsx:272	jsx/click	Rules				permissions.mode permissions.recipe permissions.remove-rule	REUSE?	
READ_ONLY	Rules.tsx:325	jsx/change	AddRule	工具			permissions.add-rule	REUSE?	
READ_ONLY	Rules.tsx:330	jsx/change	AddRule				permissions.add-rule	REUSE?	
READ_ONLY	Rules.tsx:337	jsx/change	AddRule	处理方式			permissions.add-rule	REUSE?	
READ_ONLY	Sandbox.tsx:73	jsx/change	Sandbox				sandbox.add-write-root sandbox.remove-write-root	REUSE?	
READ_ONLY	Sandbox.tsx:107	jsx/change	Sandbox				sandbox.add-write-root sandbox.remove-write-root	REUSE?	
READ_ONLY	Settings.tsx:286	jsx/mousedown	Settings				chrome.preset plan.mode	REUSE?	
READ_ONLY	Settings.tsx:307	jsx/keydown	Settings	设置分类			chrome.preset plan.mode	REUSE?	
READ_ONLY	Shell.tsx:129	jsx/change	Shell				-	NEW?	
READ_ONLY	SlottedView.tsx:28	jsx/click	SlottedView	移动 {id} 的界面			-	NEW?	
READ_ONLY	Storage.tsx:236	jsx/click	Row				storage.move	REUSE?	
READ_ONLY	Storage.tsx:251	jsx/click	Row				storage.move	REUSE?	
READ_ONLY	Timeline.tsx:100	jsx/click	Row				-	NEW?	
READ_ONLY	Transcript.tsx:206	dom-event/pointerdown	Transcript	pointerdown			-	NEW?	
READ_ONLY	Transcript.tsx:207	dom-event/touchmove	Transcript	touchmove			-	NEW?	
READ_ONLY	Welcome.tsx:52	dom-event/keydown	Welcome	keydown			-	NEW?	
READ_ONLY	Welcome.tsx:53	dom-event/pointerdown	Welcome	pointerdown			-	NEW?	
READ_ONLY	Workspaces.tsx:171	jsx/change	WorkspacesView	搜索会话 / 项目			-	NEW?	
READ_ONLY	Workspaces.tsx:171	jsx/keydown	WorkspacesView	搜索会话 / 项目			-	NEW?	
READ_ONLY	Workspaces.tsx:180	jsx/click	WorkspacesView	清空			-	NEW?	
READ_ONLY	Workspaces.tsx:417	jsx/click	WorkspacesView				-	NEW?	
READ_ONLY	Workspaces.tsx:475	jsx/click	Confirm				-	NEW?	
